Name,URL,Options
Aluminum Foil,https://www.world.org/reuse/Aluminum.Foil,"Save, cut into tiny pieces (using a paper cutter), and use for whenever you
need glitter.;Flatten, wash and store used foil.  Reuse at a later time."
Archery Arrows,https://www.world.org/reuse/Archery.Arrows,"Use to tie up plants for support.;Replace plastic ""feathers"" and arrow tips if the arrow is still useable."
Automotive Floor Mats (rubber/carpeted),https://www.world.org/reuse/Auto.Floor.Mats,"Use as a floor mat for leaky containers in the garage or basement.;Use as a boot tray for inside your house.;Place clean mats next to a kitty litter box to keep the litter from being
tracked all over the house.  (Sandi; Bailey);Put a carpeted floor mat in a pet cage (like a cat-carrying case) as a
durable and soft place for your pet to nap.  (Amanda K.);Spread across the tailgate of your truck to protect it while your dogs are
getting into and out of the truck.  (Bailey);Put them on top of the carpeting inside your vehicle to protect it from wet
and muddy dogs.  (Bailey);Take with you when you go on a picnic.  Put them on a picnic table bench
if it's wet from rain or dew or on the ground if no benches are around.  (Bailey);Place plastic mats under pet water/food dishes to catch spills."
Bags--Plastic (grocery),https://www.world.org/reuse/Bags,"Use the plastic bags you get from stores for liners in garbage cans around your house. 
(Cathy);Keep them in your car for garbage.  (Cathy);Use for stuffing pouf valences.  (Gail);Cut into strips and tie around a coat hanger which has been formed into a
circle to make a Christmas wreath.  (Rachel)"
Bags--Baggies,https://www.world.org/reuse/Bags,"DON'T USE!!!  Use tupperware instead.;For those of you who need your baggies, wash them out and                     
reuse them for your next lunch.;Wash and use for storage of ""travel"" tissues--you know, the small                     
plastic package containing 10 tissues that you usually pay 50 cents for.;Use for garbage bags around the house.;Use to cover school text books.;Don't use.;Reuse.;Use the plastic bags you get from stores for liners in garbage cans around your house. 
(Cathy);Keep them in your car for garbage.  (Cathy);Use for stuffing pouf valences.  (Gail);Cut into strips and tie around a coat hanger which has been formed into a
circle to make a Christmas wreath.  (Rachel)"
Balls--Miscellaneous,https://www.world.org/reuse/Balls,"Using a long string, hang a ball from the garage ceiling indicating where a new driver  should
stop the car.  Hitting it won't do any damage to the car and it  will prevent the driver from hitting
something else.;Give soccer balls, footballs, tennis balls, etc. to dogs for chew toys.  (Shelley);Keep old set in case one of your good balls break.;Keep for when the kids are playing, so they don't destroy good ones."
Baseball Bats,https://www.world.org/reuse/Baseball.Bats,Use for a plant support.  (Shelley);Keep in your bedroom in case of an intruder.
Belts,https://www.world.org/reuse/Belts,"Use to tie back tree branches.  (Kevin);Use for tying young trees to supports.  (Kevin);Trim and glue to the bottom of your computer monitor for a non-scratch
surface.  (Kevin);Remove from old belts and save in case you break one."
Binders (three-ring),https://www.world.org/reuse/Binders,"Cut out the section which has the rings on it, drill a hole through the rivets, and then screw
the strip to a wall.  Use to store commonly used utensils, paint brushes or your keys.;Duct tape the seams and the pockets together if they rip and continue to use for classes.;Use for orderly storage of bank statements, credit card statements, etc.;Print out your
favorite recipes on paper and then store in a binder.   (You can find them much quicker this way
than searching through several cook books.)"
Blankets,https://www.world.org/reuse/Blankets,"Keep an old one in your car for emergencies.;Fold in half the long way, sew it
together, and use it as an            exercise mat.  If it is not cushy enough, sew two together.  If you
don't           have access to a sewing machine, just fold it.;Keep for use at the beach or when on a picnic.;Take when camping so you don't destroy a good one.;Use for lining a pet's cage to make it more comfortable."
Books and Magazines,https://www.world.org/reuse/Books,"Donate books to a library.;Sell college books directly to other students (by-passing the college bookstore) and let them
save a TON of money.;Set up a table at your church where people can drop off their old magazines and other people
can buy them for 50 cents.  Then give the money to charity.;Use cool
magazine pictures as envelopes.  (Marie);Make bath toys by cutting pictures out of a magazine and covering them
with contact paper, leaving a one-half inch lip around each piece to allow it to seal.  When these
pieces
get wet, they will stick to the bathroom tile.  (Mijesa)"
Bottles--Beverage (Glass),https://www.world.org/reuse/bottles,"Use an old beer bottle as a candle holder--the wax dripping over the side will make pretty
designs.  Keep an eye on it to make sure nothing burns.  (Jon);Fill a clear glass bottle with small candies.;Make a wine bottle into a vase.;Use a larger wine bottle as a bank."
Bottles--Beverage (Plastic),https://www.world.org/reuse/bottles,"Fill with water and freeze.  They make nice ""blue ice"" for                      
coolers--especially longer trips.  Don't forget to leave room for the                     
expanding water.;Give it to your puppy.  It becomes a (noisy) toy!  (My Dog);Make it into a vase.  Partially fill it with marbles, stones                     
or something fairly heavy to keep it from tipping.  Then paint it to                      
match your decor.;Fill with colored sand and use as a doorstop.;Use to make your own bottled water.;Use large, sports drink bottles as pitchers for juice at home (Glamour Gal)."
Bottles--Food,https://www.world.org/reuse/bottles,"Ketchup, mustard, etc bottles make cheap, short-range squirt guns.;Use old plastic bottles (such as syrup bottles) for storing homemade ice-cream sauce or other
homemade food.  (Rae)"
